,Card Identifier,Transaction Date,Transaction Time,Risk Assessment,Payment Method,Transaction Value,Merchant Location,Card Present Status,Chip Usage,Cross-border Transaction (Yes/No),Acquiring Institution ID,Merchant Identifier,Merchant Category Code (MCC),Fraud Indicator (Yes/No)
78857,card 1013,2023-01-25,1900-01-01 11:33:27,32.0,Online,0.0,USA,CNP,No,No,acquirer 120,merchant 101,8299.0,No
89569,card 1013,2023-01-25,1900-01-01 14:33:00,617.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 537,merchant 372,5541.0,No
80759,card 1013,2023-01-26,1900-01-01 03:43:23,547.0,Online,23.98,USA,CNP,No,No,acquirer 65,merchant 127,5942.0,No
23585,card 1013,2023-01-27,1900-01-01 20:17:59,267.0,Chip,58.33,USA,CP,Yes,No,acquirer 3,merchant 1,5812.0,No
63515,card 1013,2023-01-27,1900-01-01 11:42:52,577.0,Online,10.52,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
37873,card 1013,2023-01-28,1900-01-01 14:17:38,657.0,Online,7.68,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
98990,card 1013,2023-01-29,1900-01-01 15:37:23,727.0,Online,325.0,USA,CNP,No,No,acquirer 26,merchant 847,5411.0,No
39594,card 1013,2023-01-30,1900-01-01 10:10:51,1177.0,Online,275.0,USA,CNP,No,No,acquirer 26,merchant 847,5411.0,No
65111,card 1013,2023-01-30,1900-01-01 14:47:03,517.0,Subscription,33.55,USA,CNP,No,No,acquirer 6,merchant 265,7392.0,No
21041,card 1013,2023-02-01,1900-01-01 19:46:53,212.0,Online,18.98,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
96927,card 1013,2023-02-02,1900-01-01 23:08:37,182.0,Online,4.99,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
53388,card 1013,2023-02-05,1900-01-01 07:13:16,322.0,Subscription,10.61,USA,CNP,No,No,acquirer 2,merchant 721,5942.0,No
58275,card 1013,2023-02-05,1900-01-01 22:20:38,407.0,Online,13.14,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
73423,card 1013,2023-02-05,1900-01-01 21:00:47,802.0,Online,250.0,USA,CNP,No,No,acquirer 26,merchant 847,5411.0,No
84138,card 1013,2023-02-06,1900-01-01 21:48:41,317.0,Online,26.98,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
14622,card 1013,2023-02-08,1900-01-01 15:34:30,727.0,Online,172.8,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
39752,card 1013,2023-02-08,1900-01-01 16:27:41,652.0,Online,77.97,USA,CNP,No,No,acquirer 26,merchant 80,5912.0,No
99260,card 1013,2023-02-09,1900-01-01 20:43:14,1082.0,Online,34.99,USA,CNP,No,No,acquirer 65,merchant 127,5942.0,No
12282,card 1013,2023-02-10,1900-01-01 13:49:41,867.0,Subscription,16.82,USA,CNP,No,No,acquirer 6,merchant 265,7392.0,No
70314,card 1013,2023-02-12,1900-01-01 09:55:34,742.0,Online,220.0,USA,CNP,No,No,acquirer 26,merchant 847,5411.0,No
78442,card 1013,2023-02-12,1900-01-01 13:44:05,562.0,Subscription,27.55,USA,CNP,No,No,acquirer 6,merchant 265,7392.0,No
11638,card 1013,2023-02-15,1900-01-01 17:13:04,582.0,Online,14.43,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
52242,card 1013,2023-02-18,1900-01-01 21:37:24,972.0,Online,40.5,USA,CNP,No,No,acquirer 65,merchant 127,5942.0,No
28909,card 1013,2023-02-19,1900-01-01 14:23:04,827.0,Online,29.84,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
11940,card 1013,2023-02-20,1900-01-01 14:58:21,412.0,Chip,56.41,USA,CP,Yes,No,acquirer 69,merchant 46,5814.0,No
44223,card 1013,2023-02-23,1900-01-01 09:20:00,617.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 263,merchant 372,5541.0,No
1378,card 1013,2023-02-27,1900-01-01 09:25:37,1652.0,Online,268.1,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
7154,card 1013,2023-02-27,1900-01-01 10:12:10,802.0,Online,127.92,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
21445,card 1013,2023-02-27,1900-01-01 12:56:26,762.0,Online,155.0,USA,CNP,No,No,acquirer 22,merchant 149,9399.0,No
17479,card 1013,2023-02-28,1900-01-01 11:52:55,977.0,Subscription,6.99,USA,CNP,No,No,acquirer 97,merchant 539,5818.0,No
73789,card 1013,2023-03-01,1900-01-01 12:19:32,547.0,Online,45.0,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
32144,card 1013,2023-03-08,1900-01-01 16:05:13,532.0,Online,65.0,USA,CNP,No,No,acquirer 41,merchant 260,7299.0,No
45078,card 1013,2023-03-11,1900-01-01 21:33:54,897.0,Online,23.17,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
22515,card 1013,2023-03-12,1900-01-01 00:05:50,532.0,Online,29.99,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
23607,card 1013,2023-03-12,1900-01-01 14:35:47,1362.0,Subscription,43.69,USA,CNP,No,No,acquirer 6,merchant 265,7392.0,No
10321,card 1013,2023-03-14,1900-01-01 06:41:37,467.0,Online,0.0,USA,CNP,No,No,acquirer 155,merchant 5,5816.0,No
19008,card 1013,2023-03-15,1900-01-01 17:28:15,367.0,Online,0.0,USA,CNP,No,No,acquirer 1,merchant 377,4829.0,No
67566,card 1013,2023-03-15,1900-01-01 20:46:20,392.0,Online,0.0,USA,CNP,No,No,acquirer 1,merchant 377,4829.0,No
67501,card 1013,2023-03-18,1900-01-01 15:43:21,1817.0,Online,290.81,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,No
30698,card 1013,2023-03-22,1900-01-01 11:02:58,3647.0,Online,67.84,USA,CNP,No,No,acquirer 6,merchant 32,5968.0,No
11274,card 1013,2023-03-24,1900-01-01 09:06:01,3962.0,Online,183.76,USA,CNP,No,No,acquirer 16,merchant 186,5977.0,No
82304,card 1013,2023-03-24,1900-01-01 08:53:02,2872.0,Online,100.0,USA,CNP,No,No,acquirer 2,merchant 31,5941.0,Yes
1383,card 1016,2023-02-18,1900-01-01 19:00:13,552.0,Chip,38.01,BRA,CP,Yes,Yes,acquirer 268,merchant 1,5812.0,No
60012,card 1016,2023-02-19,1900-01-01 03:07:08,557.0,Online,0.0,BRA,CNP,No,Yes,acquirer 322,merchant 2,5311.0,No
84670,card 1016,2023-02-19,1900-01-01 17:15:58,517.0,Paypass - Contactless,4.37,BRA,CP,Yes,Yes,acquirer 139,merchant 25,5462.0,No
72114,card 1016,2023-04-29,1900-01-01 13:23:01,452.0,Chip,3.36,URY,CP,Yes,Yes,acquirer 957,merchant 11,5411.0,No
15699,card 1016,2023-05-29,1900-01-01 10:31:12,322.0,Online,0.0,USA,CNP,No,No,acquirer 1,merchant 260,7299.0,No
86145,card 1016,2023-05-29,1900-01-01 17:48:55,3307.0,Subscription,2.0,USA,CNP,No,No,acquirer 1,merchant 377,7311.0,No
87401,card 1016,2023-05-29,1900-01-01 02:43:40,2422.0,Subscription,5.0,USA,CNP,No,No,acquirer 1,merchant 377,7311.0,Yes
98066,card 1016,2023-05-29,1900-01-01 16:46:39,2437.0,Subscription,2.0,USA,CNP,No,No,acquirer 1,merchant 377,7311.0,Yes
34066,card 1046,2023-05-17,1900-01-01 13:06:33,3117.0,Online,162.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
31607,card 1046,2023-05-18,1900-01-01 13:04:50,632.0,Online,0.0,USA,CNP,No,No,acquirer 6,merchant 414,4814.0,No
1437,card 1046,2023-05-30,1900-01-01 09:09:55,2302.0,Online,10.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
30801,card 1046,2023-06-27,1900-01-01 14:55:41,2557.0,Online,15.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
48186,card 1046,2023-06-29,1900-01-01 11:26:19,2542.0,Online,45.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
54400,card 1046,2023-06-29,1900-01-01 16:57:17,2112.0,Online,63.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
98346,card 1046,2023-07-03,1900-01-01 15:42:27,1792.0,Online,45.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
19053,card 1046,2023-07-17,1900-01-01 14:04:25,1812.0,Online,3.99,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
43231,card 1046,2023-07-18,1900-01-01 16:56:42,2332.0,Online,3.99,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
23055,card 1046,2023-07-20,1900-01-01 09:22:27,2797.0,Online,45.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
85043,card 1046,2023-07-22,1900-01-01 07:50:42,2097.0,Online,45.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
8769,card 1046,2023-07-26,1900-01-01 15:24:27,1992.0,Online,40.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
65134,card 1046,2023-07-28,1900-01-01 15:40:43,2072.0,Online,4.99,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
86125,card 1046,2023-08-27,1900-01-01 15:31:14,1017.0,Online,10.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
28299,card 1046,2023-08-30,1900-01-01 08:04:03,1907.0,Online,14.99,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
81954,card 1046,2023-10-22,1900-01-01 04:45:27,3557.0,Online,36.43,GBR,CNP,No,Yes,acquirer 350,merchant 227,5311.0,No
89365,card 1046,2023-10-28,1900-01-01 09:40:15,1152.0,Online,9.0,USA,CNP,No,No,acquirer 41,merchant 389,4829.0,No
80058,card 1046,2023-11-02,1900-01-01 14:38:13,2217.0,Subscription,206.86,USA,CNP,No,No,acquirer 6,merchant 617,5734.0,No
81986,card 1046,2023-11-17,1900-01-01 06:05:09,2957.0,Online,156.56,USA,CNP,No,No,acquirer 65,merchant 134,5999.0,Yes
85787,card 1064,2023-01-02,1900-01-01 12:06:13,532.0,Chip,4.84,USA,CP,Yes,No,acquirer 6,merchant 286,5912.0,No
84446,card 1064,2023-01-17,1900-01-01 21:45:31,592.0,Paypass - Contactless,131.68,USA,CP,Yes,No,acquirer 26,merchant 13,5813.0,No
99720,card 1064,2023-01-17,1900-01-01 22:36:00,117.0,Online,23.96,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,No
72824,card 1064,2023-01-18,1900-01-01 20:22:00,522.0,Paypass - Contactless,14.6,USA,CP,Yes,No,acquirer 41,merchant 375,5411.0,No
47854,card 1064,2023-01-24,1900-01-01 20:55:57,687.0,Chip,66.0,USA,CP,Yes,No,acquirer 39,merchant 13,5813.0,No
60796,card 1064,2023-01-28,1900-01-01 21:33:33,147.0,Online,28.12,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,No
70891,card 1064,2023-01-31,1900-01-01 23:14:13,132.0,Online,22.96,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,No
57541,card 1064,2023-02-01,1900-01-01 01:00:04,602.0,Online,34.8,USA,CNP,No,No,acquirer 570,merchant 878,5964.0,No
17401,card 1064,2023-02-03,1900-01-01 18:11:00,552.0,Paypass - Contactless,59.87,USA,CP,Yes,No,acquirer 41,merchant 64,5921.0,No
68066,card 1064,2023-02-04,1900-01-01 15:20:07,177.0,Paypass - Contactless,21.6,USA,CP,Yes,No,acquirer 6,merchant 751,5941.0,No
49899,card 1064,2023-02-08,1900-01-01 21:29:06,652.0,Chip,61.0,USA,CP,Yes,No,acquirer 6,merchant 13,5813.0,No
84584,card 1064,2023-02-10,1900-01-01 20:57:02,842.0,Magnetic Stripe,51.57,USA,CP,No,No,acquirer 23,merchant 1,5812.0,No
65864,card 1064,2023-02-12,1900-01-01 14:41:00,347.0,Paypass - Contactless,45.77,USA,CP,Yes,No,acquirer 39,merchant 11,5411.0,No
73738,card 1064,2023-02-14,1900-01-01 21:56:54,717.0,Chip,19.6,USA,CP,Yes,No,acquirer 6,merchant 7,5499.0,No
34974,card 1064,2023-02-15,1900-01-01 03:30:02,202.0,Online,90.71,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,Yes
93781,card 1064,2023-02-16,1900-01-01 10:44:00,442.0,Paypass - Contactless,20.73,GBR,CP,Yes,Yes,acquirer 571,merchant 767,5994.0,No
6781,card 1064,2023-02-22,1900-01-01 03:47:52,762.0,Online,0.0,AUS,CNP,No,Yes,acquirer 519,merchant 53,5815.0,No
20541,card 1064,2023-02-22,1900-01-01 11:42:00,267.0,Paypass - Contactless,18.21,GBR,CP,Yes,Yes,acquirer 571,merchant 767,5994.0,No
75411,card 1064,2023-02-28,1900-01-01 15:16:58,1472.0,Online,1.0,USA,CNP,No,No,acquirer 236,merchant 53,5815.0,No
47247,card 1064,2023-03-07,1900-01-01 18:58:40,357.0,Chip,20.69,USA,CP,Yes,No,acquirer 13,merchant 1,5812.0,No
29498,card 1064,2023-03-08,1900-01-01 11:43:35,552.0,Paypass - Contactless,21.61,USA,CP,Yes,No,acquirer 26,merchant 1,5812.0,No
14889,card 1064,2023-03-14,1900-01-01 21:06:33,557.0,Chip,26.13,USA,CP,Yes,No,acquirer 6,merchant 7,5499.0,No
62764,card 1064,2023-03-15,1900-01-01 18:46:12,487.0,Paypass - Contactless,8.71,USA,CP,Yes,No,acquirer 6,merchant 7,5499.0,No
7609,card 1064,2023-03-23,1900-01-01 02:04:20,1142.0,Online,8.95,USA,CNP,No,No,acquirer 45,merchant 174,4121.0,No
78346,card 1064,2023-03-25,1900-01-01 10:59:27,207.0,Paypass - Contactless,14.4,USA,CP,Yes,No,acquirer 183,merchant 11,5411.0,No
19054,card 1064,2023-04-09,1900-01-01 03:53:32,552.0,Chip,10.89,USA,CP,Yes,No,acquirer 21,merchant 13,5813.0,No
1466,card 1064,2023-04-10,1900-01-01 14:28:29,317.0,Paypass - Contactless,5.43,USA,CP,Yes,No,acquirer 22,merchant 392,5251.0,No
52219,card 1064,2023-04-10,1900-01-01 16:40:39,522.0,Chip,8.71,USA,CP,Yes,No,acquirer 13,merchant 1,5812.0,No
84160,card 1064,2023-04-17,1900-01-01 07:19:14,127.0,Online,2.98,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
61193,card 1064,2023-04-18,1900-01-01 20:38:35,527.0,Chip,13.06,USA,CP,Yes,No,acquirer 26,merchant 13,5813.0,No
59582,card 1064,2023-04-20,1900-01-01 17:54:38,572.0,Chip,16.33,USA,CP,Yes,No,acquirer 23,merchant 1,5812.0,No
97244,card 1064,2023-04-23,1900-01-01 19:22:00,572.0,Paypass - Contactless,5.37,USA,CP,Yes,No,acquirer 49,merchant 82,5814.0,No
47270,card 1104,2023-02-10,1900-01-01 22:13:41,1607.0,Subscription,9.99,USA,CNP,No,No,acquirer 2,merchant 206,4899.0,Yes
20155,card 1104,2023-03-10,1900-01-01 22:13:40,787.0,Subscription,9.99,USA,CNP,No,No,acquirer 2,merchant 206,4899.0,Yes
24982,card 1133,2023-05-27,1900-01-01 05:31:16,2067.0,Online,321.74,LUX,CNP,No,Yes,acquirer 455,merchant 76,5999.0,No
61929,card 1133,2023-06-01,1900-01-01 13:33:37,1427.0,Unknown,56.99,USA,CNP,No,No,acquirer 38,merchant 62,7399.0,No
54341,card 1133,2023-06-02,1900-01-01 09:56:59,1022.0,Paypass - Contactless,54.85,ITA,CP,Yes,Yes,acquirer 552,merchant 550,5651.0,No
24496,card 1133,2023-06-06,1900-01-01 06:22:41,1417.0,Subscription,13.77,USA,CNP,No,No,acquirer 6,merchant 539,5818.0,No
10386,card 1133,2023-06-09,1900-01-01 12:47:08,647.0,Chip,13.35,ITA,CP,Yes,Yes,acquirer 20,merchant 11,5411.0,No
22146,card 1133,2023-06-16,1900-01-01 05:44:45,2542.0,Online,4.55,USA,CNP,No,No,acquirer 2,merchant 97,4789.0,No
13628,card 1133,2023-06-17,1900-01-01 12:35:00,1282.0,Online,16.79,USA,CNP,No,No,acquirer 1,merchant 60,4899.0,No
6812,card 1133,2023-06-23,1900-01-01 09:26:39,3747.0,Online,49.35,LUX,CNP,No,Yes,acquirer 455,merchant 76,5999.0,No
22112,card 1133,2023-06-28,1900-01-01 09:25:37,1572.0,Online,76.57,USA,CNP,No,No,acquirer 2,merchant 279,4722.0,No
62901,card 1133,2023-06-28,1900-01-01 07:54:23,1067.0,Online,64.1,USA,CNP,No,No,acquirer 2,merchant 279,4722.0,No
18461,card 1133,2023-06-30,1900-01-01 17:56:18,1482.0,Paypass - Contactless,229.79,ITA,CP,Yes,Yes,acquirer 873,merchant 55,7230.0,Yes
21387,card 1133,2023-06-30,1900-01-01 21:12:56,947.0,Paypass - Contactless,30.61,ITA,CP,Yes,Yes,acquirer 873,merchant 1,5812.0,No
56803,card 1133,2023-07-06,1900-01-01 12:32:47,3037.0,Online,16.36,ESP,CNP,No,Yes,acquirer 10,merchant 1282,5814.0,No
1588,card 1133,2023-07-10,1900-01-01 08:19:12,2182.0,Subscription,3.66,USA,CNP,No,No,acquirer 120,merchant 61,4899.0,No
80899,card 1133,2023-07-10,1900-01-01 23:07:10,3397.0,Online,198.48,IRL,CNP,No,Yes,acquirer 1245,merchant 627,5621.0,No
33418,card 1133,2023-07-21,1900-01-01 12:34:25,2842.0,Online,2.95,USA,CNP,No,No,acquirer 166,merchant 397,7375.0,No
46820,card 1133,2023-07-23,1900-01-01 03:36:04,1517.0,Online,17.55,ITA,CNP,No,Yes,acquirer 204,merchant 260,7299.0,No
96277,card 1133,2023-07-29,1900-01-01 22:03:31,1212.0,Paypass - Contactless,17.68,ITA,CP,Yes,Yes,acquirer 20,merchant 7,5499.0,No
66948,card 1133,2023-08-01,1900-01-01 00:29:36,752.0,Paypass - Contactless,22.05,ITA,CP,Yes,Yes,acquirer 269,merchant 1,5812.0,No
73175,card 1133,2023-08-02,1900-01-01 07:11:36,1767.0,Online,12.0,USA,CNP,No,No,acquirer 6,merchant 5,5816.0,No
93230,card 1133,2023-08-06,1900-01-01 08:00:20,1972.0,Subscription,0.0,USA,CNP,No,No,acquirer 2,merchant 89,8999.0,No
26338,card 1133,2023-08-07,1900-01-01 10:11:28,2657.0,Online,13.76,CYP,CNP,No,Yes,acquirer 10,merchant 227,5311.0,No
32648,card 1133,2023-08-07,1900-01-01 05:13:44,2777.0,Subscription,11.04,GBR,CNP,No,Yes,acquirer 204,merchant 89,8999.0,No
50475,card 1133,2023-08-19,1900-01-01 16:58:54,1172.0,Subscription,16.79,USA,CNP,No,No,acquirer 120,merchant 60,4899.0,No
83585,card 1160,2023-01-04,1900-01-01 06:42:00,772.0,Subscription,14.99,USA,CNP,No,No,acquirer 6,merchant 539,5818.0,No
84749,card 1160,2023-01-04,1900-01-01 09:31:20,392.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
53587,card 1160,2023-01-05,1900-01-01 22:04:45,312.0,Subscription,6.99,USA,CNP,No,No,acquirer 16,merchant 657,7829.0,No
99071,card 1160,2023-01-06,1900-01-01 10:24:51,437.0,Magnetic Stripe,0.25,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
27819,card 1160,2023-01-07,1900-01-01 17:22:48,432.0,Subscription,169.98,USA,CNP,No,No,acquirer 6,merchant 178,4899.0,No
50945,card 1160,2023-01-10,1900-01-01 09:34:13,577.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
28057,card 1160,2023-01-15,1900-01-01 21:36:33,537.0,Postal,65.12,USA,CNP,No,No,acquirer 41,merchant 11,5411.0,No
51460,card 1160,2023-01-15,1900-01-01 13:41:29,552.0,Chip,1.0,USA,CP,Yes,No,acquirer 6,merchant 67,5541.0,No
67099,card 1160,2023-01-15,1900-01-01 16:40:17,1322.0,Online,150.0,USA,CNP,No,No,acquirer 41,merchant 260,7299.0,No
17321,card 1160,2023-01-17,1900-01-01 17:35:37,1242.0,Online,30.0,USA,CNP,No,No,acquirer 41,merchant 260,7299.0,No
69116,card 1160,2023-01-17,1900-01-01 23:08:43,1472.0,Online,20.0,USA,CNP,No,No,acquirer 41,merchant 260,7299.0,No
23829,card 1160,2023-01-19,1900-01-01 16:59:57,857.0,Online,50.0,USA,CNP,No,No,acquirer 41,merchant 260,7299.0,No
36336,card 1160,2023-01-20,1900-01-01 18:18:29,2177.0,Online,150.0,USA,CNP,No,No,acquirer 41,merchant 260,7299.0,No
82660,card 1160,2023-01-26,1900-01-01 11:02:37,402.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
80640,card 1160,2023-01-28,1900-01-01 09:50:28,557.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
13513,card 1160,2023-01-31,1900-01-01 09:32:44,422.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
45357,card 1160,2023-01-31,1900-01-01 13:03:49,562.0,Chip,1.0,USA,CP,Yes,No,acquirer 6,merchant 67,5541.0,No
29045,card 1160,2023-02-01,1900-01-01 18:48:31,1717.0,Online,44.63,USA,CNP,No,No,acquirer 22,merchant 2,4121.0,No
74484,card 1160,2023-02-02,1900-01-01 09:11:00,687.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
75210,card 1160,2023-02-04,1900-01-01 18:44:02,837.0,Postal,146.48,USA,CNP,No,No,acquirer 41,merchant 11,5411.0,No
1637,card 1160,2023-02-05,1900-01-01 08:59:36,647.0,Subscription,19.99,USA,CNP,No,No,acquirer 6,merchant 60,4899.0,No
7239,card 1160,2023-02-08,1900-01-01 09:01:14,657.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
56836,card 1160,2023-02-08,1900-01-01 16:47:32,1397.0,Online,25.0,USA,CNP,No,No,acquirer 18,merchant 291,5814.0,No
6913,card 1160,2023-02-12,1900-01-01 21:58:49,1177.0,Postal,75.54,USA,CNP,No,No,acquirer 41,merchant 11,5411.0,No
18455,card 1160,2023-02-12,1900-01-01 21:59:03,1352.0,Online,35.0,USA,CNP,No,No,acquirer 18,merchant 291,5814.0,No
83331,card 1160,2023-02-13,1900-01-01 13:46:52,592.0,Chip,1.0,USA,CP,Yes,No,acquirer 6,merchant 67,5541.0,No
54261,card 1160,2023-02-21,1900-01-01 09:57:35,507.0,Chip,108.85,USA,CP,Yes,No,acquirer 77,merchant 7,5499.0,No
21735,card 1160,2023-02-25,1900-01-01 17:38:15,597.0,Paypass - Contactless,59.82,USA,CP,Yes,No,acquirer 6,merchant 46,5814.0,No
5221,card 1160,2023-03-02,1900-01-01 09:05:06,497.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
46839,card 1160,2023-03-03,1900-01-01 10:06:02,432.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
53003,card 1160,2023-03-04,1900-01-01 09:38:11,382.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
46107,card 1160,2023-03-05,1900-01-01 18:21:19,1292.0,Chip,55.27,USA,CP,Yes,No,acquirer 41,merchant 1,5812.0,No
76712,card 1160,2023-03-06,1900-01-01 08:56:34,917.0,Chip,44.03,USA,CP,Yes,No,acquirer 28,merchant 109,5814.0,No
72645,card 1160,2023-03-08,1900-01-01 19:15:09,912.0,Online,673.18,USA,CNP,No,No,acquirer 41,merchant 10,4900.0,No
24668,card 1160,2023-03-15,1900-01-01 10:28:25,522.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
54015,card 1160,2023-03-17,1900-01-01 09:20:31,747.0,Magnetic Stripe,2.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
53466,card 1160,2023-03-21,1900-01-01 16:28:44,677.0,Paypass - Contactless,51.73,USA,CP,Yes,No,acquirer 6,merchant 1,5812.0,No
9407,card 1160,2023-03-25,1900-01-01 10:23:10,352.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
83562,card 1160,2023-03-28,1900-01-01 17:44:05,777.0,Subscription,10.99,USA,CNP,No,No,acquirer 6,merchant 539,5818.0,No
2152,card 1160,2023-03-30,1900-01-01 09:33:27,342.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
39368,card 1160,2023-04-03,1900-01-01 21:24:24,172.0,Online,0.0,USA,CNP,No,No,acquirer 6,merchant 5,5816.0,No
39404,card 1160,2023-04-04,1900-01-01 05:29:03,4742.0,Online,1482.35,JPN,CNP,No,Yes,acquirer 173,merchant 1846,4511.0,No
43753,card 1160,2023-04-05,1900-01-01 10:06:01,452.0,Magnetic Stripe,0.5,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
10341,card 1160,2023-04-12,1900-01-01 10:08:32,327.0,Magnetic Stripe,0.25,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
69364,card 1160,2023-04-12,1900-01-01 09:19:15,307.0,Magnetic Stripe,1.0,USA,CP,No,No,acquirer 53,merchant 34,7523.0,No
19026,card 1160,2023-04-19,1900-01-01 21:16:27,697.0,Online,42.37,USA,CNP,No,No,acquirer 207,merchant 64,5921.0,No
26185,card 1160,2023-04-20,1900-01-01 17:44:40,782.0,Online,175.15,USA,CNP,No,No,acquirer 6,merchant 76,5942.0,No
