,Card Identifier,Number of Transactions,Non-Fraudulent Transactions,Fraudulent Transactions,proportion_of_fraudulent_transactions
1765,card 2588,12,7.0,5.0,0.4166666666666667
1026,card 1922,5,3.0,2.0,0.4
3981,card 4582,5,3.0,2.0,0.4
3142,card 3827,5,3.0,2.0,0.4
1746,card 2570,3,2.0,1.0,0.3333333333333333
5209,card 5688,3,2.0,1.0,0.3333333333333333
3889,card 45,3,2.0,1.0,0.3333333333333333
5415,card 5873,6,4.0,2.0,0.3333333333333333
5993,card 6393,3,2.0,1.0,0.3333333333333333
200,card 1179,9,6.0,3.0,0.3333333333333333
5226,card 5702,3,2.0,1.0,0.3333333333333333
5109,card 5598,3,2.0,1.0,0.3333333333333333
6088,card 6479,3,2.0,1.0,0.3333333333333333
4859,card 5372,3,2.0,1.0,0.3333333333333333
6011,card 6409,3,2.0,1.0,0.3333333333333333
566,card 1508,3,2.0,1.0,0.3333333333333333
5354,card 5818,3,2.0,1.0,0.3333333333333333
2650,card 3384,3,2.0,1.0,0.3333333333333333
3468,card 412,3,2.0,1.0,0.3333333333333333
4118,card 4705,3,2.0,1.0,0.3333333333333333
4514,card 5061,3,2.0,1.0,0.3333333333333333
1565,card 2407,3,2.0,1.0,0.3333333333333333
5295,card 5765,4,3.0,1.0,0.25
480,card 1430,4,3.0,1.0,0.25
2915,card 3622,4,3.0,1.0,0.25
3398,card 4057,4,3.0,1.0,0.25
6063,card 6456,4,3.0,1.0,0.25
3872,card 4484,4,3.0,1.0,0.25
20,card 1016,8,6.0,2.0,0.25
1095,card 1985,4,3.0,1.0,0.25
7530,card 7777,4,3.0,1.0,0.25
2425,card 3181,9,7.0,2.0,0.2222222222222222
3556,card 42,5,4.0,1.0,0.2
3714,card 4341,5,4.0,1.0,0.2
1832,card 2648,5,4.0,1.0,0.2
3180,card 3861,5,4.0,1.0,0.2
1402,card 2260,22,18.0,4.0,0.18181818181818182
738,card 1663,11,9.0,2.0,0.18181818181818182
2216,card 2994,6,5.0,1.0,0.16666666666666666
5247,card 5721,6,5.0,1.0,0.16666666666666666
2764,card 3487,12,10.0,2.0,0.16666666666666666
2730,card 3456,12,10.0,2.0,0.16666666666666666
1591,card 2430,19,16.0,3.0,0.15789473684210525
7842,card 972,7,6.0,1.0,0.14285714285714285
2580,card 3320,7,6.0,1.0,0.14285714285714285
894,card 1803,7,6.0,1.0,0.14285714285714285
7671,card 818,67,58.0,9.0,0.13432835820895522
4934,card 544,16,14.0,2.0,0.125
5132,card 5618,8,7.0,1.0,0.125
1940,card 2745,8,7.0,1.0,0.125
3661,card 4294,8,7.0,1.0,0.125
2950,card 3654,8,7.0,1.0,0.125
5398,card 5858,8,7.0,1.0,0.125
3958,card 4561,17,15.0,2.0,0.11764705882352941
3114,card 3801,17,15.0,2.0,0.11764705882352941
3373,card 4034,9,8.0,1.0,0.1111111111111111
2733,card 3459,9,8.0,1.0,0.1111111111111111
7870,card 998,28,25.0,3.0,0.10714285714285714
3185,card 3866,10,9.0,1.0,0.1
3265,card 3938,10,9.0,1.0,0.1
1558,card 2400,10,9.0,1.0,0.1
2095,card 2885,10,9.0,1.0,0.1
3255,card 3929,11,10.0,1.0,0.09090909090909091
2665,card 3398,11,10.0,1.0,0.09090909090909091
7763,card 900,12,11.0,1.0,0.08333333333333333
1115,card 2001,12,11.0,1.0,0.08333333333333333
663,card 1596,38,35.0,3.0,0.07894736842105263
4109,card 4698,13,12.0,1.0,0.07692307692307693
1526,card 2372,15,14.0,1.0,0.06666666666666667
1096,card 1986,15,14.0,1.0,0.06666666666666667
842,card 1757,48,45.0,3.0,0.0625
5623,card 606,16,15.0,1.0,0.0625
1008,card 1906,52,49.0,3.0,0.057692307692307696
53,card 1046,19,18.0,1.0,0.05263157894736842
3300,card 397,19,18.0,1.0,0.05263157894736842
316,card 1283,78,74.0,4.0,0.05128205128205128
1740,card 2565,21,20.0,1.0,0.047619047619047616
150,card 1133,24,23.0,1.0,0.041666666666666664
267,card 1239,74,71.0,3.0,0.04054054054054054
5189,card 567,28,27.0,1.0,0.03571428571428571
4712,card 524,122,118.0,4.0,0.03278688524590164
73,card 1064,32,31.0,1.0,0.03125
1262,card 2134,32,31.0,1.0,0.03125
1329,card 2195,32,31.0,1.0,0.03125
7578,card 782,34,33.0,1.0,0.029411764705882353
2867,card 358,105,102.0,3.0,0.02857142857142857
3272,card 3944,35,34.0,1.0,0.02857142857142857
668,card 160,41,40.0,1.0,0.024390243902439025
6378,card 674,47,46.0,1.0,0.02127659574468085
7112,card 740,52,51.0,1.0,0.019230769230769232
180,card 1160,55,54.0,1.0,0.01818181818181818
17,card 1013,56,55.0,1.0,0.017857142857142856
1889,card 27,64,63.0,1.0,0.015625
4422,card 498,65,64.0,1.0,0.015384615384615385
3712,card 434,67,66.0,1.0,0.014925373134328358
366,card 1328,69,68.0,1.0,0.014492753623188406
916,card 1823,72,71.0,1.0,0.013888888888888888
2845,card 356,72,71.0,1.0,0.013888888888888888
5956,card 636,77,76.0,1.0,0.012987012987012988
1409,card 2267,85,84.0,1.0,0.011764705882352941
2889,card 36,94,93.0,1.0,0.010638297872340425
5322,card 579,101,100.0,1.0,0.009900990099009901
7707,card 850,143,142.0,1.0,0.006993006993006993
7755,card 894,150,149.0,1.0,0.006666666666666667
7795,card 93,282,281.0,1.0,0.0035460992907801418
5234,card 571,130,130.0,0.0,0.0
5233,card 5709,2,2.0,0.0,0.0
5839,card 6254,1,1.0,0.0,0.0
5227,card 5703,2,2.0,0.0,0.0
5229,card 5705,2,2.0,0.0,0.0
5224,card 5700,2,2.0,0.0,0.0
5225,card 5701,3,3.0,0.0,0.0
5232,card 5708,1,1.0,0.0,0.0
5228,card 5704,3,3.0,0.0,0.0
5231,card 5707,4,4.0,0.0,0.0
5230,card 5706,1,1.0,0.0,0.0
5239,card 5714,5,5.0,0.0,0.0
5235,card 5710,3,3.0,0.0,0.0
5236,card 5711,3,3.0,0.0,0.0
5254,card 5728,1,1.0,0.0,0.0
5253,card 5727,1,1.0,0.0,0.0
5252,card 5726,1,1.0,0.0,0.0
5835,card 6250,2,2.0,0.0,0.0
5251,card 5725,3,3.0,0.0,0.0
5250,card 5724,2,2.0,0.0,0.0
5249,card 5723,3,3.0,0.0,0.0
5248,card 5722,1,1.0,0.0,0.0
5836,card 6251,1,1.0,0.0,0.0
5246,card 5720,1,1.0,0.0,0.0
5245,card 572,57,57.0,0.0,0.0
5837,card 6252,3,3.0,0.0,0.0
5244,card 5719,9,9.0,0.0,0.0
5243,card 5718,1,1.0,0.0,0.0
5242,card 5717,1,1.0,0.0,0.0
5241,card 5716,2,2.0,0.0,0.0
5240,card 5715,4,4.0,0.0,0.0
5222,card 57,9,9.0,0.0,0.0
5838,card 6253,1,1.0,0.0,0.0
5238,card 5713,6,6.0,0.0,0.0
5237,card 5712,2,2.0,0.0,0.0
5223,card 570,33,33.0,0.0,0.0
5759,card 6182,3,3.0,0.0,0.0
5221,card 5699,2,2.0,0.0,0.0
5220,card 5698,2,2.0,0.0,0.0
5194,card 5674,2,2.0,0.0,0.0
5193,card 5673,7,7.0,0.0,0.0
5843,card 6258,1,1.0,0.0,0.0
5192,card 5672,3,3.0,0.0,0.0
5191,card 5671,5,5.0,0.0,0.0
5190,card 5670,2,2.0,0.0,0.0
5844,card 6259,2,2.0,0.0,0.0
5188,card 5669,4,4.0,0.0,0.0
5187,card 5668,1,1.0,0.0,0.0
5186,card 5667,6,6.0,0.0,0.0
5185,card 5666,1,1.0,0.0,0.0
5184,card 5665,1,1.0,0.0,0.0
5183,card 5664,1,1.0,0.0,0.0
5182,card 5663,1,1.0,0.0,0.0
5181,card 5662,1,1.0,0.0,0.0
5180,card 5661,2,2.0,0.0,0.0
5179,card 5660,4,4.0,0.0,0.0
5178,card 566,35,35.0,0.0,0.0
5177,card 5659,4,4.0,0.0,0.0
5176,card 5658,2,2.0,0.0,0.0
5175,card 5657,15,15.0,0.0,0.0
5174,card 5656,7,7.0,0.0,0.0
5173,card 5655,1,1.0,0.0,0.0
5172,card 5654,2,2.0,0.0,0.0
5171,card 5653,2,2.0,0.0,0.0
5842,card 6257,1,1.0,0.0,0.0
5195,card 5675,3,3.0,0.0,0.0
5196,card 5676,1,1.0,0.0,0.0
5840,card 6255,1,1.0,0.0,0.0
5219,card 5697,2,2.0,0.0,0.0
5218,card 5696,4,4.0,0.0,0.0
5217,card 5695,1,1.0,0.0,0.0
5216,card 5694,2,2.0,0.0,0.0
5215,card 5693,1,1.0,0.0,0.0
5214,card 5692,1,1.0,0.0,0.0
5256,card 573,7,7.0,0.0,0.0
5213,card 5691,2,2.0,0.0,0.0
5212,card 5690,1,1.0,0.0,0.0
5211,card 569,22,22.0,0.0,0.0
5210,card 5689,2,2.0,0.0,0.0
5208,card 5687,7,7.0,0.0,0.0
5197,card 5677,1,1.0,0.0,0.0
5207,card 5686,3,3.0,0.0,0.0
5206,card 5685,5,5.0,0.0,0.0
5205,card 5684,2,2.0,0.0,0.0
5204,card 5683,1,1.0,0.0,0.0
5203,card 5682,4,4.0,0.0,0.0
5202,card 5681,3,3.0,0.0,0.0
5201,card 5680,2,2.0,0.0,0.0
5841,card 6256,3,3.0,0.0,0.0
5200,card 568,83,83.0,0.0,0.0
5199,card 5679,2,2.0,0.0,0.0
5198,card 5678,3,3.0,0.0,0.0
5255,card 5729,10,10.0,0.0,0.0
5265,card 5738,3,3.0,0.0,0.0
5257,card 5730,2,2.0,0.0,0.0
5316,card 5784,1,1.0,0.0,0.0
5328,card 5795,1,1.0,0.0,0.0
5327,card 5794,10,10.0,0.0,0.0
5326,card 5793,1,1.0,0.0,0.0
5325,card 5792,5,5.0,0.0,0.0
5324,card 5791,2,2.0,0.0,0.0
5323,card 5790,3,3.0,0.0,0.0
5321,card 5789,1,1.0,0.0,0.0
5320,card 5788,1,1.0,0.0,0.0
5319,card 5787,1,1.0,0.0,0.0
5318,card 5786,1,1.0,0.0,0.0
5317,card 5785,3,3.0,0.0,0.0
5315,card 5783,4,4.0,0.0,0.0
5330,card 5797,3,3.0,0.0,0.0
5314,card 5782,10,10.0,0.0,0.0
5313,card 5781,2,2.0,0.0,0.0
5312,card 5780,3,3.0,0.0,0.0
5311,card 578,45,45.0,0.0,0.0
5310,card 5779,3,3.0,0.0,0.0
5309,card 5778,3,3.0,0.0,0.0
5308,card 5777,1,1.0,0.0,0.0
5307,card 5776,1,1.0,0.0,0.0
5822,card 6239,1,1.0,0.0,0.0
5306,card 5775,2,2.0,0.0,0.0
5305,card 5774,2,2.0,0.0,0.0
5329,card 5796,4,4.0,0.0,0.0
5331,card 5798,2,2.0,0.0,0.0
5303,card 5772,2,2.0,0.0,0.0
5344,card 5809,4,4.0,0.0,0.0
5819,card 6236,1,1.0,0.0,0.0
5820,card 6237,2,2.0,0.0,0.0
5353,card 5817,5,5.0,0.0,0.0
5352,card 5816,1,1.0,0.0,0.0
5351,card 5815,1,1.0,0.0,0.0
5350,card 5814,1,1.0,0.0,0.0
5349,card 5813,2,2.0,0.0,0.0
5348,card 5812,4,4.0,0.0,0.0
5347,card 5811,4,4.0,0.0,0.0
5346,card 5810,5,5.0,0.0,0.0
5345,card 581,136,136.0,0.0,0.0
5343,card 5808,1,1.0,0.0,0.0
5821,card 6238,3,3.0,0.0,0.0
5342,card 5807,1,1.0,0.0,0.0
5341,card 5806,7,7.0,0.0,0.0
5340,card 5805,2,2.0,0.0,0.0
5339,card 5804,1,1.0,0.0,0.0
5338,card 5803,1,1.0,0.0,0.0
5337,card 5802,3,3.0,0.0,0.0
5336,card 5801,3,3.0,0.0,0.0
5335,card 5800,2,2.0,0.0,0.0
5334,card 580,216,216.0,0.0,0.0
5333,card 58,3,3.0,0.0,0.0
5332,card 5799,5,5.0,0.0,0.0
5304,card 5773,1,1.0,0.0,0.0
5302,card 5771,2,2.0,0.0,0.0
5258,card 5731,1,1.0,0.0,0.0
5268,card 5740,1,1.0,0.0,0.0
5277,card 5749,1,1.0,0.0,0.0
5276,card 5748,2,2.0,0.0,0.0
5275,card 5747,1,1.0,0.0,0.0
5274,card 5746,2,2.0,0.0,0.0
5273,card 5745,3,3.0,0.0,0.0
5830,card 6246,3,3.0,0.0,0.0
5272,card 5744,1,1.0,0.0,0.0
5271,card 5743,1,1.0,0.0,0.0
5270,card 5742,6,6.0,0.0,0.0
5269,card 5741,3,3.0,0.0,0.0
5831,card 6247,4,4.0,0.0,0.0
5832,card 6248,2,2.0,0.0,0.0
5279,card 5750,1,1.0,0.0,0.0
5833,card 6249,2,2.0,0.0,0.0
5267,card 574,76,76.0,0.0,0.0
5266,card 5739,3,3.0,0.0,0.0
5169,card 5651,2,2.0,0.0,0.0
5264,card 5737,1,1.0,0.0,0.0
5263,card 5736,5,5.0,0.0,0.0
5834,card 625,7,7.0,0.0,0.0
5262,card 5735,9,9.0,0.0,0.0
5261,card 5734,4,4.0,0.0,0.0
5260,card 5733,2,2.0,0.0,0.0
5259,card 5732,1,1.0,0.0,0.0
5278,card 575,138,138.0,0.0,0.0
5829,card 6245,3,3.0,0.0,0.0
5301,card 5770,6,6.0,0.0,0.0
5290,card 5760,2,2.0,0.0,0.0
5300,card 577,86,86.0,0.0,0.0
5299,card 5769,2,2.0,0.0,0.0
5298,card 5768,2,2.0,0.0,0.0
5297,card 5767,2,2.0,0.0,0.0
5296,card 5766,2,2.0,0.0,0.0
5823,card 624,7,7.0,0.0,0.0
5294,card 5764,1,1.0,0.0,0.0
5824,card 6240,2,2.0,0.0,0.0
5293,card 5763,11,11.0,0.0,0.0
5292,card 5762,2,2.0,0.0,0.0
5291,card 5761,3,3.0,0.0,0.0
5825,card 6241,1,1.0,0.0,0.0
5828,card 6244,1,1.0,0.0,0.0
5289,card 576,93,93.0,0.0,0.0
5288,card 5759,3,3.0,0.0,0.0
5287,card 5758,3,3.0,0.0,0.0
5286,card 5757,1,1.0,0.0,0.0
5826,card 6242,1,1.0,0.0,0.0
5285,card 5756,5,5.0,0.0,0.0
5827,card 6243,1,1.0,0.0,0.0
5284,card 5755,4,4.0,0.0,0.0
5283,card 5754,1,1.0,0.0,0.0
5282,card 5753,3,3.0,0.0,0.0
5281,card 5752,1,1.0,0.0,0.0
5170,card 5652,2,2.0,0.0,0.0
5161,card 5644,1,1.0,0.0,0.0
5168,card 5650,1,1.0,0.0,0.0
5167,card 565,1,1.0,0.0,0.0
5861,card 6274,2,2.0,0.0,0.0
5037,card 5532,3,3.0,0.0,0.0
5036,card 5531,1,1.0,0.0,0.0
5862,card 6275,1,1.0,0.0,0.0
5035,card 5530,1,1.0,0.0,0.0
5034,card 553,66,66.0,0.0,0.0
5033,card 5529,1,1.0,0.0,0.0
5032,card 5528,4,4.0,0.0,0.0
5031,card 5527,1,1.0,0.0,0.0
5030,card 5526,1,1.0,0.0,0.0
5029,card 5525,1,1.0,0.0,0.0
5028,card 5524,4,4.0,0.0,0.0
5027,card 5523,3,3.0,0.0,0.0
5026,card 5522,1,1.0,0.0,0.0
5025,card 5521,5,5.0,0.0,0.0
5024,card 5520,3,3.0,0.0,0.0
5023,card 552,116,116.0,0.0,0.0
5022,card 5519,2,2.0,0.0,0.0
5021,card 5518,14,14.0,0.0,0.0
5863,card 6276,3,3.0,0.0,0.0
5020,card 5517,2,2.0,0.0,0.0
5019,card 5516,7,7.0,0.0,0.0
5018,card 5515,2,2.0,0.0,0.0
5864,card 6277,1,1.0,0.0,0.0
5017,card 5514,3,3.0,0.0,0.0
5038,card 5533,6,6.0,0.0,0.0
5039,card 5534,2,2.0,0.0,0.0
5040,card 5535,3,3.0,0.0,0.0
5053,card 5547,1,1.0,0.0,0.0
5064,card 5557,2,2.0,0.0,0.0
5063,card 5556,1,1.0,0.0,0.0
5062,card 5555,11,11.0,0.0,0.0
5061,card 5554,1,1.0,0.0,0.0
5060,card 5553,6,6.0,0.0,0.0
5059,card 5552,3,3.0,0.0,0.0
5058,card 5551,4,4.0,0.0,0.0
5057,card 5550,9,9.0,0.0,0.0
5056,card 555,61,61.0,0.0,0.0
5055,card 5549,2,2.0,0.0,0.0
5054,card 5548,4,4.0,0.0,0.0
5052,card 5546,5,5.0,0.0,0.0
5041,card 5536,1,1.0,0.0,0.0
5051,card 5545,1,1.0,0.0,0.0
5860,card 6273,5,5.0,0.0,0.0
5050,card 5544,4,4.0,0.0,0.0
5049,card 5543,5,5.0,0.0,0.0
5048,card 5542,2,2.0,0.0,0.0
5047,card 5541,1,1.0,0.0,0.0
5046,card 5540,1,1.0,0.0,0.0
5045,card 554,44,44.0,0.0,0.0
5044,card 5539,6,6.0,0.0,0.0
5043,card 5538,2,2.0,0.0,0.0
5042,card 5537,7,7.0,0.0,0.0
5865,card 6278,1,1.0,0.0,0.0
5016,card 5513,7,7.0,0.0,0.0
5015,card 5512,5,5.0,0.0,0.0
5873,card 6285,2,2.0,0.0,0.0
4991,card 5491,1,1.0,0.0,0.0
4990,card 5490,1,1.0,0.0,0.0
4989,card 549,18,18.0,0.0,0.0
4988,card 5489,1,1.0,0.0,0.0
4987,card 5488,2,2.0,0.0,0.0
4986,card 5487,2,2.0,0.0,0.0
4985,card 5486,4,4.0,0.0,0.0
4984,card 5485,2,2.0,0.0,0.0
4983,card 5484,5,5.0,0.0,0.0
5872,card 6284,2,2.0,0.0,0.0
4982,card 5483,1,1.0,0.0,0.0
4981,card 5482,4,4.0,0.0,0.0
4993,card 5493,1,1.0,0.0,0.0
4980,card 5481,1,1.0,0.0,0.0
4979,card 5480,4,4.0,0.0,0.0
4978,card 548,62,62.0,0.0,0.0
4977,card 5479,2,2.0,0.0,0.0
4976,card 5478,2,2.0,0.0,0.0
4975,card 5477,5,5.0,0.0,0.0
5874,card 6286,3,3.0,0.0,0.0
4974,card 5476,1,1.0,0.0,0.0
4973,card 5475,4,4.0,0.0,0.0
4972,card 5474,2,2.0,0.0,0.0
4971,card 5473,2,2.0,0.0,0.0
4992,card 5492,3,3.0,0.0,0.0
4994,card 5494,1,1.0,0.0,0.0
5866,card 6279,1,1.0,0.0,0.0
5004,card 5502,2,2.0,0.0,0.0
5014,card 5511,1,1.0,0.0,0.0
5013,card 5510,5,5.0,0.0,0.0
5012,card 551,38,38.0,0.0,0.0
5011,card 5509,1,1.0,0.0,0.0
5010,card 5508,2,2.0,0.0,0.0
5009,card 5507,3,3.0,0.0,0.0
5008,card 5506,2,2.0,0.0,0.0
5007,card 5505,1,1.0,0.0,0.0
5006,card 5504,5,5.0,0.0,0.0
5867,card 628,35,35.0,0.0,0.0
5005,card 5503,2,2.0,0.0,0.0
5003,card 5501,3,3.0,0.0,0.0
4995,card 5495,4,4.0,0.0,0.0
5868,card 6280,2,2.0,0.0,0.0
5002,card 5500,12,12.0,0.0,0.0
5869,card 6281,1,1.0,0.0,0.0
5001,card 550,56,56.0,0.0,0.0
5870,card 6282,1,1.0,0.0,0.0
5000,card 55,101,101.0,0.0,0.0
4999,card 5499,5,5.0,0.0,0.0
4998,card 5498,6,6.0,0.0,0.0
4997,card 5497,2,2.0,0.0,0.0
4996,card 5496,2,2.0,0.0,0.0
5871,card 6283,1,1.0,0.0,0.0
5065,card 5558,2,2.0,0.0,0.0
5066,card 5559,1,1.0,0.0,0.0
5859,card 6272,4,4.0,0.0,0.0
5131,card 5617,5,5.0,0.0,0.0
5142,card 5627,2,2.0,0.0,0.0
5141,card 5626,3,3.0,0.0,0.0
5140,card 5625,4,4.0,0.0,0.0
5139,card 5624,3,3.0,0.0,0.0
5138,card 5623,4,4.0,0.0,0.0
5137,card 5622,5,5.0,0.0,0.0
5136,card 5621,1,1.0,0.0,0.0
5135,card 5620,1,1.0,0.0,0.0
5134,card 562,29,29.0,0.0,0.0
5133,card 5619,4,4.0,0.0,0.0
5850,card 6264,1,1.0,0.0,0.0
5130,card 5616,1,1.0,0.0,0.0
5144,card 5629,1,1.0,0.0,0.0
5129,card 5615,1,1.0,0.0,0.0
5128,card 5614,2,2.0,0.0,0.0
5851,card 6265,3,3.0,0.0,0.0
5127,card 5613,3,3.0,0.0,0.0
5126,card 5612,1,1.0,0.0,0.0
5125,card 5611,1,1.0,0.0,0.0
5124,card 5610,2,2.0,0.0,0.0
5123,card 561,80,80.0,0.0,0.0
5122,card 5609,1,1.0,0.0,0.0
5121,card 5608,3,3.0,0.0,0.0
5120,card 5607,4,4.0,0.0,0.0
5143,card 5628,2,2.0,0.0,0.0
5145,card 563,134,134.0,0.0,0.0
5118,card 5605,2,2.0,0.0,0.0
5158,card 5641,1,1.0,0.0,0.0
5166,card 5649,1,1.0,0.0,0.0
5845,card 626,50,50.0,0.0,0.0
5165,card 5648,2,2.0,0.0,0.0
5164,card 5647,2,2.0,0.0,0.0
5163,card 5646,7,7.0,0.0,0.0
5846,card 6260,5,5.0,0.0,0.0
5847,card 6261,4,4.0,0.0,0.0
5162,card 5645,2,2.0,0.0,0.0
5356,card 582,3,3.0,0.0,0.0
5160,card 5643,9,9.0,0.0,0.0
5159,card 5642,3,3.0,0.0,0.0
5157,card 5640,4,4.0,0.0,0.0
5146,card 5630,1,1.0,0.0,0.0
5156,card 564,28,28.0,0.0,0.0
5155,card 5639,5,5.0,0.0,0.0
5154,card 5638,2,2.0,0.0,0.0
5849,card 6263,1,1.0,0.0,0.0
5153,card 5637,7,7.0,0.0,0.0
5152,card 5636,4,4.0,0.0,0.0
5151,card 5635,1,1.0,0.0,0.0
5150,card 5634,4,4.0,0.0,0.0
5149,card 5633,3,3.0,0.0,0.0
5148,card 5632,1,1.0,0.0,0.0
5147,card 5631,5,5.0,0.0,0.0
5119,card 5606,3,3.0,0.0,0.0
5117,card 5604,1,1.0,0.0,0.0
5067,card 556,25,25.0,0.0,0.0
5080,card 5571,1,1.0,0.0,0.0
5090,card 5580,1,1.0,0.0,0.0
5089,card 558,18,18.0,0.0,0.0
5088,card 5579,1,1.0,0.0,0.0
5087,card 5578,1,1.0,0.0,0.0
5086,card 5577,3,3.0,0.0,0.0
5857,card 6270,3,3.0,0.0,0.0
5085,card 5576,2,2.0,0.0,0.0
5084,card 5575,1,1.0,0.0,0.0
5083,card 5574,3,3.0,0.0,0.0
5082,card 5573,11,11.0,0.0,0.0
5081,card 5572,2,2.0,0.0,0.0
5079,card 5570,1,1.0,0.0,0.0
5092,card 5582,5,5.0,0.0,0.0
5078,card 557,21,21.0,0.0,0.0
5077,card 5569,2,2.0,0.0,0.0
5076,card 5568,1,1.0,0.0,0.0
5075,card 5567,2,2.0,0.0,0.0
5074,card 5566,5,5.0,0.0,0.0
5073,card 5565,1,1.0,0.0,0.0
5072,card 5564,2,2.0,0.0,0.0
5071,card 5563,4,4.0,0.0,0.0
5070,card 5562,1,1.0,0.0,0.0
5069,card 5561,4,4.0,0.0,0.0
5068,card 5560,8,8.0,0.0,0.0
5091,card 5581,3,3.0,0.0,0.0
5093,card 5583,3,3.0,0.0,0.0
5116,card 5603,1,1.0,0.0,0.0
5105,card 5594,2,2.0,0.0,0.0
5115,card 5602,1,1.0,0.0,0.0
5852,card 6266,3,3.0,0.0,0.0
5853,card 6267,1,1.0,0.0,0.0
5113,card 5600,1,1.0,0.0,0.0
5112,card 560,116,116.0,0.0,0.0
5111,card 56,88,88.0,0.0,0.0
5110,card 5599,5,5.0,0.0,0.0
5854,card 6268,1,1.0,0.0,0.0
5108,card 5597,3,3.0,0.0,0.0
5107,card 5596,2,2.0,0.0,0.0
5106,card 5595,1,1.0,0.0,0.0
5855,card 6269,1,1.0,0.0,0.0
5094,card 5584,1,1.0,0.0,0.0
5104,card 5593,3,3.0,0.0,0.0
5103,card 5592,1,1.0,0.0,0.0
5102,card 5591,3,3.0,0.0,0.0
5856,card 627,3,3.0,0.0,0.0
5101,card 5590,4,4.0,0.0,0.0
5100,card 559,135,135.0,0.0,0.0
5099,card 5589,1,1.0,0.0,0.0
5098,card 5588,1,1.0,0.0,0.0
5097,card 5587,2,2.0,0.0,0.0
5096,card 5586,2,2.0,0.0,0.0
5095,card 5585,1,1.0,0.0,0.0
5355,card 5819,1,1.0,0.0,0.0
5366,card 5829,3,3.0,0.0,0.0
5357,card 5820,1,1.0,0.0,0.0
5612,card 605,10,10.0,0.0,0.0
